SOURCE	TARGET	WEIGHT
raisins	secs	2.06963806973e-05
vie	à	2.06963806973e-05
bonne	foi	2.06191553961e-05
dito	à	2.06191553961e-05
havre	laines	2.06191553961e-05
poids	à	2.06191553961e-05
russe	unifiée	2.06191553961e-05
était	très	2.06191553961e-05
météorologique	général	2.0541930095e-05
paris	mars	2.0541930095e-05
do	paris	2.04647047939e-05
retour	à	2.04647047939e-05
très	grande	2.04647047939e-05
à	craindre	2.04647047939e-05
ainsi	à	2.03874794928e-05
anvers	cafés	2.03874794928e-05
pouvait	être	2.03874794928e-05
stock	circulation	2.03874794928e-05
thermomètre	marquait	2.03874794928e-05
conseillers	municipaux	2.03102541917e-05
jouissance	juillet	2.03102541917e-05
marché	rouble	2.02330288906e-05
santos	good	2.02330288906e-05
à	mc	2.02330288906e-05
dernière	séance	2.01558035895e-05
manière	à	2.01558035895e-05
remis	à	2.01558035895e-05
siège	social	2.01558035895e-05
à	musée	2.01558035895e-05
triple	alliance	2.00785782884e-05
intérêt	à	2.00013529873e-05
nécessaires	à	2.00013529873e-05
mme	carnot	1.99241276862e-05
monté	à	1.99241276862e-05
tribunal	correctionnel	1.99241276862e-05
élevé	à	1.99241276862e-05
cotons	calmes	1.98469023851e-05
maison	à	1.98469023851e-05
à	cylindre	1.98469023851e-05
blés	à	1.97696770839e-05
inscrits	votants	1.97696770839e-05
long	papier	1.97696770839e-05
parti	ouvrier	1.97696770839e-05
point	à	1.97696770839e-05
répondu	à	1.97696770839e-05
à	croire	1.97696770839e-05
comptes	courants	1.96924517828e-05
pourront	être	1.96924517828e-05
à	nice	1.96924517828e-05
dito	raffinés	1.96152264817e-05
nord	fin	1.96152264817e-05
porté	à	1.96152264817e-05
général	à	1.95380011806e-05
prêts	à	1.95380011806e-05
raffinés	à	1.95380011806e-05
monte	à	1.93835505784e-05
seigles	kilos	1.93835505784e-05
été	faites	1.93835505784e-05
contrairement	à	1.93063252773e-05
à	mètres	1.93063252773e-05
été	commis	1.93063252773e-05
revenu	brut	1.92290999762e-05
consiste	à	1.91518746751e-05
pris	à	1.91518746751e-05
tend	à	1.91518746751e-05
faites	à	1.9074649374e-05
pays	à	1.89201987717e-05
pouvoirs	publics	1.89201987717e-05
à	vendre	1.89201987717e-05
attaché	à	1.88429734706e-05
réponse	à	1.88429734706e-05
assemblée	générale	1.87657481695e-05
beers	escompte	1.86885228684e-05
laines	cote	1.86885228684e-05
à	rue	1.86885228684e-05
gouvernement	à	1.86112975673e-05
passe	à	1.86112975673e-05
change	papier	1.85340722662e-05
jours	derniers	1.85340722662e-05
jules	ferry	1.85340722662e-05
là	où	1.85340722662e-05
rendus	à	1.85340722662e-05
commission	chargée	1.84568469651e-05
union	postale	1.84568469651e-05
lyon	à	1.8379621664e-05
ventes	chicago	1.8379621664e-05
adressé	à	1.83023963629e-05
arrivé	hier	1.83023963629e-05
parti	libéral	1.83023963629e-05
prince	napoléon	1.83023963629e-05
supérieure	à	1.83023963629e-05
cotons	ventes	1.82251710618e-05
devront	être	1.82251710618e-05
dito	acquitté	1.82251710618e-05
heures	russe	1.82251710618e-05
république	à	1.82251710618e-05
acquitté	à	1.81479457607e-05
relativement	à	1.81479457607e-05
était	né	1.81479457607e-05
notaire	rue	1.80707204595e-05
rendu	compte	1.80707204595e-05
iles	britanniques	1.79934951584e-05
porte	à	1.79934951584e-05
russe	nouveau	1.79934951584e-05
société	anonyme	1.79934951584e-05
à	rouen	1.79934951584e-05
di	rudini	1.79162698573e-05
à	suivre	1.79162698573e-05
bénéfices	nets	1.78390445562e-05
maintenant	à	1.78390445562e-05
rapport	à	1.78390445562e-05
