SOURCE	TARGET	WEIGHT	WEIGHT*100000
à	tour	2.15E-05	2.154585901
chambre	à	2.15E-05	2.146863371
circulation	colza	2.15E-05	2.146863371
cours	à	2.15E-05	2.146863371
donne	lecture	2.14E-05	2.139140841
moment	à	2.14E-05	2.139140841
ventes	cafés	2.14E-05	2.139140841
courant	avril	2.13E-05	2.131418311
lits	militaires	2.13E-05	2.131418311
sacs	santos	2.13E-05	2.131418311
actuellement	à	2.12E-05	2.123695781
paris	directeur	2.12E-05	2.123695781
seulement	à	2.12E-05	2.123695781
à	bon	2.12E-05	2.11597325
à	bordeaux	2.11E-05	2.10825072
bon	marché	2.10E-05	2.10052819
doit	avoir	2.10E-05	2.10052819
premiers	jours	2.10E-05	2.10052819
été	chargé	2.10E-05	2.10052819
voitures	à	2.09E-05	2.09280566
conseil	fédéral	2.09E-05	2.08508313
dernier	à	2.09E-05	2.08508313
bon	sens	2.08E-05	2.0773606
situation	particulière	2.08E-05	2.0773606
temps	boulevard	2.08E-05	2.0773606
fair	futurs	2.07E-05	2.06963807
raisins	secs	2.07E-05	2.06963807
vie	à	2.07E-05	2.06963807
bonne	foi	2.06E-05	2.06191554
dito	à	2.06E-05	2.06191554
havre	laines	2.06E-05	2.06191554
poids	à	2.06E-05	2.06191554
russe	unifiée	2.06E-05	2.06191554
était	très	2.06E-05	2.06191554
météorologique	général	2.05E-05	2.05419301
paris	mars	2.05E-05	2.05419301
do	paris	2.05E-05	2.046470479
retour	à	2.05E-05	2.046470479
très	grande	2.05E-05	2.046470479
à	craindre	2.05E-05	2.046470479
ainsi	à	2.04E-05	2.038747949
anvers	cafés	2.04E-05	2.038747949
pouvait	être	2.04E-05	2.038747949
stock	circulation	2.04E-05	2.038747949
thermomètre	marquait	2.04E-05	2.038747949
conseillers	municipaux	2.03E-05	2.031025419
jouissance	juillet	2.03E-05	2.031025419
marché	rouble	2.02E-05	2.023302889
santos	good	2.02E-05	2.023302889
à	mc	2.02E-05	2.023302889
dernière	séance	2.02E-05	2.015580359
manière	à	2.02E-05	2.015580359
remis	à	2.02E-05	2.015580359
siège	social	2.02E-05	2.015580359
à	musée	2.02E-05	2.015580359
triple	alliance	2.01E-05	2.007857829
intérêt	à	2.00E-05	2.000135299
nécessaires	à	2.00E-05	2.000135299
mme	carnot	1.99E-05	1.992412769
